"Order #","MSS PO","Enrollment #","Order Recv. Date","Date ORD ACK","Customer Name","SKU Ordered",Appliance,Qty,"Service SKU","Service Level",Address,City,State,Postal,Country,"Serial #","Expected ship date","Actual Ship Date","INCO Terms",Carrier,"Tracking #","Customs Arrival Date","Final Delivery Date"
013584,6000414688,SHG0997879L714L,01/03/2017,01/03/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013583,6000414556,SHG0997877L74F7,12/30/2016,01/03/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013582,6000414555,SHG0997877L74CN,12/30/2016,01/03/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/03/2017,,FEDEX,,,
013581,6000414540,SHG0997879L7HVD,12/30/2016,01/03/2017,Microsoft,,,,3M2-00007,"Upgrade (Std to Premium)","One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013580,6000414539,SHG0997879L70RT,12/30/2016,01/03/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013579,6000414538,SHG0997879L790X,12/30/2016,01/04/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013578,6000414537,SHG0997877L7842,12/30/2016,01/04/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013577,6000414535,SHG0997877L733B,12/30/2016,01/04/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013576,6000414536,SHG0997877L78YD,12/30/2016,01/04/2017,Microsoft,,,,3M2-00005,Standard,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013575,6000414533,SHG0997877L72W6,12/30/2016,01/04/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013574,6000414532,SHG0997879L7290,12/30/2016,01/04/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013573,6000414531,SHG0997879L72DG,12/30/2016,01/04/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013572,6000414534,SHG0997877L73G7,12/30/2016,01/04/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013571,6000414530,SHG0991003L706S,12/30/2016,01/04/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/04/2017,,FEDEX,,,
013570,6000414520,6701620,12/30/2016,12/30/2016,"BANCA DELLE MARCHE SPA -, ATTN: Asset Management",3M2-00001,8100,1.00,3M2-00006,Premium,"Via Del Carroccio, 6",Pero,"Miano ",20016,Italy,SHG0997879L7J1Q,,01/10/2017,DDP,DHL,7216381340,01/12/2017,01/17/2017
